Employee_ID,Corporate_ID,Employee_Name,Employee_Title,Employee_Suffix,Occupation,Grade_Level,Monthly_Salary_GHS,Age,Gender,Gender_Guess,Dependents,Smoker
EMP00021,CORP001,Scott Haney,,,Network Engineer,Mid,12000,54,Female,Male,2,No
EMP00022,CORP001,Jessica Smith,,,Software Engineer,Senior,19000,41,Male,Female,0,Yes
EMP00023,CORP001,Kristin Anderson,,,Network Engineer,Junior,7500,43,Male,Female,2,Yes
EMP00024,CORP001,John Mcdonald,,,Network Engineer,Junior,7500,40,Male,Male,1,Yes
EMP00025,CORP001,Stephen Brown,,,Network Engineer,Mid,12000,39,Male,Male,3,Yes
EMP00026,CORP001,Daniel Faulkner,,,Network Engineer,Senior,17000,33,Female,Male,1,Yes
EMP00027,CORP001,Pamela Morales,,,Software Engineer,Junior,8500,40,Female,Female,2,Yes
EMP00028,CORP001,Kenneth Torres,,,Software Engineer,Senior,19000,32,Female,Male,3,No
EMP00029,CORP001,Ryan Sims,,,Software Engineer,Junior,8500,48,Female,Male,2,Yes
EMP00030,CORP001,Aaron Whitaker,,,Software Engineer,Mid,13000,40,Male,Male,1,Yes
EMP00031,CORP001,Ricardo Larson,,,Network Engineer,Junior,7500,42,Male,Male,0,Yes
EMP00032,CORP001,Emily Johnson,,,Software Engineer,Mid,13000,53,Female,Female,0,Yes
EMP00033,CORP002,Susan Jones,,,Network Engineer,Mid,12000,50,Female,Female,3,No
EMP00034,CORP002,Amanda Thompson,,,Software Engineer,Junior,8500,49,Female,Female,0,Yes
EMP00035,CORP002,Wanda Evans,,,Network Engineer,Senior,17000,37,Male,Female,0,No
EMP00036,CORP002,Gabriel Hicks,,,Network Engineer,Junior,7500,26,Female,Male,2,No
EMP00037,CORP002,Laura Harris,,,Software Engineer,Mid,13000,36,Female,Female,1,No
EMP00038,CORP002,Michael Phillips,,,Software Engineer,Junior,8500,43,Female,Male,3,No
EMP00039,CORP002,Laurie David,,,Network Engineer,Junior,7500,51,Female,Female,1,No
EMP00040,CORP002,Amanda Rodriguez,,,Software Engineer,Mid,13000,37,Female,Female,0,No
EMP00041,CORP002,Juan Ramirez,,,Software Engineer,Mid,13000,55,Female,Male,3,No
EMP00042,CORP002,Jennifer Garcia,,,Network Engineer,Junior,7500,48,Male,Female,3,No
EMP00043,CORP002,Thomas Taylor,,,Software Engineer,Junior,8500,34,Male,Male,0,Yes
EMP00044,CORP002,Thomas Mendoza,,,Software Engineer,Junior,8500,33,Male,Male,4,No
EMP00045,CORP002,Paul Horne,,,Network Engineer,Mid,12000,54,Female,Male,0,Yes
EMP00046,CORP002,Larry Keller,,,Software Engineer,Senior,19000,33,Female,Male,3,No
EMP00047,CORP002,Sarah Tanner,,,Network Engineer,Mid,12000,33,Female,Female,3,Yes
EMP00048,CORP002,Valerie Barnett,,,Software Engineer,Mid,13000,40,Female,Female,0,No
EMP00049,CORP002,Danielle Alexander,,,Software Engineer,Senior,19000,33,Female,Female,0,Yes
EMP00050,CORP002,Rachel Smith,,,Software Engineer,Senior,19000,52,Male,Female,2,Yes
EMP00051,CORP002,Charlene Goodwin,,,Software Engineer,Senior,19000,48,Male,Female,4,No
EMP00052,CORP002,Steven Warren,,,Network Engineer,Junior,7500,43,Male,Male,2,Yes
EMP00053,CORP002,Steven Mason,,,Software Engineer,Junior,8500,49,Male,Male,4,No
EMP00054,CORP002,Carrie Miller,,,Software Engineer,Mid,13000,52,Male,Female,3,Yes
EMP00055,CORP002,Frederick Nunez,,,Software Engineer,Mid,13000,54,Female,Male,3,No
EMP00056,CORP002,Christopher Smith,,,Software Engineer,Mid,13000,35,Female,Male,3,No
EMP00057,CORP002,Glenn Freeman,,,Software Engineer,Senior,19000,35,Male,Male,1,Yes
EMP00058,CORP002,Anthony Russell,,,Software Engineer,Junior,8500,32,Male,Male,4,No
EMP00059,CORP002,Stephanie Mcintyre,,,Network Engineer,Mid,12000,44,Female,Female,3,No
EMP00060,CORP002,Christina Hogan,,,Software Engineer,Junior,8500,44,Female,Female,3,No
EMP00061,CORP002,Jeffrey Baker,,,Software Engineer,Junior,8500,23,Female,Male,0,Yes
EMP00062,CORP002,Kathleen Campbell,,,Software Engineer,Junior,8500,55,Male,Female,2,Yes
EMP00063,CORP002,Deanna Potts,,,Network Engineer,Junior,7500,36,Female,Female,0,Yes
EMP00064,CORP003,Alyssa Sharp,,,Network Engineer,Mid,12000,32,Male,Female,2,Yes
EMP00065,CORP003,Jeremiah Burns,,,Software Engineer,Mid,13000,27,Female,Male,0,Yes
EMP00066,CORP003,Joy Taylor,,,Network Engineer,Mid,12000,40,Male,Female,3,No
EMP00067,CORP003,Diana Vaughn,,,Network Engineer,Senior,17000,39,Female,Female,3,No
EMP00068,CORP003,Nicholas Jones,,,Software Engineer,Mid,13000,49,Male,Male,3,Yes
EMP00069,CORP003,Charles Williams,,,Software Engineer,Junior,8500,30,Female,Male,0,Yes
EMP00070,CORP003,Scott Kelly,,,Software Engineer,Senior,19000,57,Male,Male,1,No
EMP00071,CORP003,Jane Scott,,,Software Engineer,Senior,19000,26,Male,Female,1,Yes
EMP00072,CORP003,Terri Schroeder,,,Network Engineer,Junior,7500,32,Male,Female,0,No
EMP00073,CORP003,Larry Stanton,,,Software Engineer,Junior,8500,27,Female,Male,3,No
EMP00074,CORP003,Natalie Snow,,,Software Engineer,Senior,19000,49,Female,Female,0,No
EMP00075,CORP003,Cynthia French,,,Network Engineer,Mid,12000,37,Female,Female,2,No
EMP00076,CORP003,Francisco Hardin,,,Software Engineer,Mid,13000,40,Female,Male,2,Yes
EMP00077,CORP003,Christopher Hernandez,,,Software Engineer,Senior,19000,41,Female,Male,1,Yes
EMP00078,CORP003,Stephanie Wright,,,Software Engineer,Senior,19000,42,Male,Female,3,Yes
EMP00079,CORP003,Christine Skinner,,,Network Engineer,Senior,17000,37,Male,Female,2,No
EMP00080,CORP003,Richard Garcia,,,Software Engineer,Mid,13000,31,Male,Male,2,No
EMP00081,CORP003,Stephanie Greene,,,Software Engineer,Senior,19000,55,Female,Female,1,Yes
EMP00082,CORP003,Rachel Walker,,,Network Engineer,Senior,17000,39,Female,Female,0,No
EMP00083,CORP003,Melissa Casey,,,Software Engineer,Mid,13000,46,Male,Female,1,Yes
EMP00084,CORP003,Cynthia Anderson,,,Network Engineer,Junior,7500,30,Female,Female,1,Yes
EMP00085,CORP003,April Sanchez,,,Network Engineer,Senior,17000,47,Female,Female,4,Yes
EMP00086,CORP003,Brooke Ayers,,,Software Engineer,Junior,8500,29,Female,Female,2,No
EMP00087,CORP003,Michelle Cox,,,Network Engineer,Senior,17000,48,Female,Female,3,Yes
EMP00088,CORP003,Katherine Robinson,,,Network Engineer,Junior,7500,30,Female,Female,2,Yes
EMP00089,CORP003,Christopher Martinez,,,Network Engineer,Mid,12000,26,Male,Male,3,Yes
EMP00090,CORP003,Nicole Roberts,,,Software Engineer,Mid,13000,28,Male,Female,2,Yes
EMP00091,CORP003,Laura Boone,,,Network Engineer,Mid,12000,50,Male,Female,0,Yes
EMP00092,CORP003,Miranda Erickson,,,Network Engineer,Senior,17000,55,Male,Female,3,No
EMP00093,CORP003,Holly Brown,,,Software Engineer,Junior,8500,48,Male,Female,4,Yes
EMP00094,CORP003,Kelly Watkins,,,Network Engineer,Mid,12000,49,Female,Female,2,No
EMP00095,CORP003,Earl Farley,,,Software Engineer,Junior,8500,56,Female,Male,2,Yes
EMP00096,CORP003,Kathy Thompson,,,Network Engineer,Junior,7500,47,Female,Female,1,No
EMP00097,CORP004,Michele Alexander,,,Network Engineer,Senior,17000,32,Female,Female,4,No
EMP00098,CORP004,Sydney Gordon,,,Network Engineer,Mid,12000,23,Male,Male,4,Yes
EMP00099,CORP004,Nathaniel Blair,,,Software Engineer,Junior,8500,31,Female,Male,4,Yes
EMP00100,CORP004,Courtney Roberts,,,Network Engineer,Junior,7500,44,Female,Female,0,No
EMP00101,CORP004,Keith Mathis,,,Software Engineer,Mid,13000,47,Female,Male,4,Yes
EMP00102,CORP004,Joshua Bradley,,,Software Engineer,Senior,19000,46,Male,Male,4,Yes
EMP00103,CORP004,Autumn Aguilar,,,Software Engineer,Junior,8500,44,Female,Female,4,No
EMP00104,CORP004,Dale Morales,,,Software Engineer,Senior,19000,48,Female,Male,0,Yes
EMP00105,CORP004,Tara Carter,,,Network Engineer,Senior,17000,54,Female,Female,1,Yes
EMP00106,CORP004,Amber Hendricks,,,Network Engineer,Junior,7500,48,Female,Female,4,Yes
EMP00107,CORP004,Richard Middleton,,,Network Engineer,Mid,12000,35,Male,Male,4,Yes
EMP00108,CORP004,James Pena,,,Software Engineer,Senior,19000,23,Female,Male,1,No
EMP00109,CORP004,William Dixon,,,Network Engineer,Mid,12000,44,Male,Male,1,No
EMP00110,CORP004,Russell Powell,,,Software Engineer,Junior,8500,32,Male,Male,4,Yes
EMP00111,CORP004,Samantha King,,,Software Engineer,Senior,19000,39,Female,Female,2,No
EMP00112,CORP004,Taylor Stanley,,,Software Engineer,Junior,8500,37,Male,Male,0,No
EMP00113,CORP004,Shane Lee,,,Network Engineer,Senior,17000,54,Male,Male,3,Yes
EMP00114,CORP004,Lauren Mathews,,,Software Engineer,Mid,13000,54,Female,Female,2,No
EMP00115,CORP004,James Torres,,,Network Engineer,Senior,17000,47,Male,Male,1,Yes
EMP00116,CORP004,William Moreno,,,Network Engineer,Junior,7500,55,Male,Male,2,Yes
EMP00117,CORP004,Tara Parker,,,Software Engineer,Mid,13000,56,Female,Female,1,Yes
EMP00118,CORP004,Benjamin Moore,,,Software Engineer,Senior,19000,50,Female,Male,1,No
EMP00119,CORP004,Theresa Lane,,,Software Engineer,Senior,19000,50,Male,Female,0,No
EMP00120,CORP004,Clarence Anderson,,,Network Engineer,Junior,7500,32,Female,Male,4,Yes
EMP00121,CORP004,Adam Brown,,,Software Engineer,Junior,8500,32,Male,Male,1,Yes
EMP00122,CORP004,Ashley Jackson,,,Software Engineer,Mid,13000,39,Female,Female,0,Yes
EMP00123,CORP004,Javier Contreras,,,Network Engineer,Junior,7500,46,Female,Male,0,Yes
EMP00124,CORP004,Peter Jones,,,Software Engineer,Mid,13000,53,Male,Male,1,Yes
EMP00125,CORP004,Michael Durham,,,Software Engineer,Senior,19000,50,Male,Male,2,No
EMP00126,CORP004,Angela Wells,,,Software Engineer,Senior,19000,40,Female,Female,3,No
EMP00127,CORP004,Christine Daniel,,,Network Engineer,Senior,17000,35,Male,Female,1,Yes
EMP00128,CORP004,Kimberly Peters,,,Software Engineer,Junior,8500,51,Female,Female,1,Yes
EMP00129,CORP004,Edward Webb,,,Software Engineer,Mid,13000,32,Female,Male,0,No
EMP00130,CORP004,April Little,,,Network Engineer,Senior,17000,38,Male,Female,2,Yes
EMP00131,CORP004,Jason Ramirez,,,Software Engineer,Junior,8500,33,Female,Male,1,Yes
EMP00132,CORP004,Jennifer Davis,,,Software Engineer,Senior,19000,33,Female,Female,3,Yes
EMP00133,CORP004,Jennifer Hicks,,,Network Engineer,Senior,17000,25,Male,Female,1,Yes
EMP00134,CORP004,Amanda Cline,,,Software Engineer,Mid,13000,28,Female,Female,0,No
EMP00135,CORP004,Jonathan Morales,,,Network Engineer,Mid,12000,44,Male,Male,1,Yes
EMP00136,CORP005,Aaron Jacobs,,,Software Engineer,Senior,19000,39,Female,Male,0,No
EMP00137,CORP005,Jamie Wright,,,Software Engineer,Senior,19000,45,Female,Female,3,Yes
EMP00138,CORP005,Daniel Collins,,,Software Engineer,Mid,13000,57,Male,Male,0,Yes
EMP00139,CORP005,Terri Cameron,,,Software Engineer,Senior,19000,28,Male,Female,0,Yes
EMP00140,CORP005,Robert Choi,,,Network Engineer,Mid,12000,51,Female,Male,2,Yes
EMP00141,CORP005,Amy Bishop,,,Network Engineer,Mid,12000,36,Male,Female,3,No
EMP00142,CORP005,Dana Brock,,,Software Engineer,Junior,8500,36,Male,Female,3,No
EMP00143,CORP005,Tiffany Weaver,,,Software Engineer,Mid,13000,46,Female,Female,1,No
EMP00144,CORP005,Jessica Whitehead,,,Network Engineer,Mid,12000,53,Female,Female,3,No
EMP00145,CORP005,Thomas Scott,,,Software Engineer,Senior,19000,42,Female,Male,3,Yes
EMP00146,CORP005,Linda Lopez,,,Network Engineer,Senior,17000,56,Male,Female,1,Yes
EMP00147,CORP005,James Young,,,Network Engineer,Mid,12000,55,Female,Male,1,Yes
EMP00148,CORP005,Melissa Bush,,,Software Engineer,Mid,13000,57,Male,Female,3,Yes
EMP00149,CORP005,Sarah Coffey,,,Software Engineer,Senior,19000,25,Female,Female,1,Yes
EMP00150,CORP005,Kevin Jones,,,Software Engineer,Senior,19000,50,Male,Male,3,No
EMP00151,CORP005,Carmen Holland,,,Network Engineer,Senior,17000,54,Female,Female,4,No
EMP00152,CORP005,Kyle Torres,,,Software Engineer,Mid,13000,46,Male,Female,3,No
EMP00153,CORP005,Trevor Carpenter,,,Network Engineer,Mid,12000,42,Male,Male,4,No
EMP00154,CORP005,Ashley Parker,,,Network Engineer,Junior,7500,58,Female,Female,4,Yes
EMP00155,CORP005,Thomas Gonzalez,,,Network Engineer,Junior,7500,32,Male,Male,1,No
EMP00156,CORP005,Alison Blanchard,,,Software Engineer,Senior,19000,35,Male,Female,2,No
EMP00157,CORP005,Krista Bond,,,Network Engineer,Senior,17000,27,Male,Female,3,No
EMP00158,CORP006,Dave Rose,,,Relationship Manager,Senior,14500,35,Male,Male,3,No
EMP00159,CORP006,Kaitlyn Mcgee,,,Accountant,Senior,13000,30,Male,Female,2,Yes
EMP00160,CORP006,Jasmine Oconnell,,,Relationship Manager,Mid,9500,26,Male,Female,3,Yes
EMP00161,CORP006,Jimmy House,,,Relationship Manager,Senior,14500,33,Male,Male,1,No
EMP00162,CORP006,James Brennan,,,Relationship Manager,Junior,6000,42,Male,Male,2,No
EMP00163,CORP006,Kristine Warren,,,Relationship Manager,Mid,9500,34,Female,Female,4,No
EMP00164,CORP006,Michael Mills,,,Relationship Manager,Mid,9500,46,Female,Male,3,No
EMP00165,CORP006,Seth Powell,,,Accountant,Senior,13000,47,Female,Male,1,Yes
EMP00166,CORP006,Gregory Owen,,,Accountant,Junior,5500,34,Male,Male,1,No
EMP00167,CORP006,Monica King,,,Accountant,Mid,8500,56,Female,Female,3,No
EMP00168,CORP006,Renee Wood,,,Accountant,Junior,5500,43,Female,Female,4,No
EMP00169,CORP006,Melissa Colon,,,Accountant,Junior,5500,48,Male,Female,4,No
EMP00170,CORP006,David Ross,,DDS,Relationship Manager,Junior,6000,43,Female,Male,1,Yes
EMP00171,CORP006,Robert Landry,,,Accountant,Mid,8500,43,Male,Male,2,Yes
EMP00172,CORP006,Nathaniel Taylor,,,Relationship Manager,Junior,6000,30,Male,Male,4,No
EMP00173,CORP006,Riley Ross,,,Relationship Manager,Senior,14500,54,Female,Male,2,Yes
EMP00174,CORP007,Tammy Moore,,,Accountant,Mid,8500,33,Male,Female,1,Yes
EMP00175,CORP007,Bryan Rogers,,,Relationship Manager,Mid,9500,51,Female,Male,1,Yes
EMP00176,CORP007,Austin Adams,Mr.,,Relationship Manager,Mid,9500,37,Female,Male,0,No
EMP00177,CORP007,Zachary Morris,,,Accountant,Junior,5500,41,Female,Male,3,No
EMP00178,CORP007,Mark Knapp,,,Accountant,Junior,5500,53,Female,Male,2,No
EMP00179,CORP007,Jennifer Dunn,,,Relationship Manager,Junior,6000,58,Male,Female,0,No
EMP00180,CORP007,Teresa Poole,,,Accountant,Senior,13000,41,Female,Female,1,Yes
EMP00181,CORP007,Katherine Wells,,,Accountant,Junior,5500,27,Female,Female,0,No
EMP00182,CORP007,Benjamin Lowe,,,Relationship Manager,Senior,14500,50,Male,Male,3,Yes
EMP00183,CORP007,Kimberly Stephens,,,Relationship Manager,Junior,6000,46,Male,Female,4,No
EMP00184,CORP007,Steven Yang,,,Relationship Manager,Junior,6000,37,Male,Male,2,Yes
EMP00185,CORP007,Cheryl Allen,,,Accountant,Mid,8500,26,Male,Female,2,No
EMP00186,CORP007,Bonnie Nelson,,,Relationship Manager,Senior,14500,48,Male,Female,4,No
EMP00187,CORP007,Christopher Grimes,,,Relationship Manager,Mid,9500,49,Female,Male,3,No
EMP00188,CORP007,Ariel Raymond,,,Accountant,Mid,8500,55,Female,Male,1,No
EMP00189,CORP008,Heather Wilson,,,Accountant,Mid,8500,51,Male,Female,2,No
EMP00190,CORP008,April Powell,,,Accountant,Senior,13000,43,Female,Female,1,Yes
EMP00191,CORP008,William Johnson,,,Accountant,Mid,8500,47,Female,Male,4,No
EMP00192,CORP008,Deborah Jones,Mrs.,PhD,Accountant,Mid,8500,48,Female,Female,4,Yes
EMP00193,CORP008,Elijah Ross,,,Relationship Manager,Junior,6000,47,Male,Male,3,No
EMP00194,CORP008,Kelli Foster,,,Accountant,Junior,5500,43,Female,Female,0,Yes
EMP00195,CORP008,Makayla Chung,,,Relationship Manager,Senior,14500,54,Male,Female,1,Yes
EMP00196,CORP008,Lindsay Taylor,,DDS,Accountant,Senior,13000,23,Male,Female,0,No
EMP00197,CORP008,Natalie Fox,,,Relationship Manager,Mid,9500,55,Female,Female,4,Yes
EMP00198,CORP008,James Dennis,,,Relationship Manager,Mid,9500,29,Female,Male,1,Yes
EMP00199,CORP008,Kimberly Thompson,,,Accountant,Mid,8500,53,Female,Female,2,No
EMP00200,CORP008,Julie Jones,,MD,Relationship Manager,Mid,9500,32,Female,Female,3,No
EMP00201,CORP008,Tracy Miller,,,Accountant,Senior,13000,57,Male,Female,1,No
EMP00202,CORP008,Kyle Shelton,,,Relationship Manager,Mid,9500,29,Female,Female,1,No
EMP00203,CORP008,Michelle Owens,,,Relationship Manager,Senior,14500,25,Male,Female,1,Yes
EMP00204,CORP008,Kayla Brennan,,,Relationship Manager,Junior,6000,36,Female,Female,0,No
EMP00205,CORP008,Tonya Mata,,,Relationship Manager,Senior,14500,32,Male,Female,2,Yes
EMP00206,CORP008,Carlos Pope,,,Relationship Manager,Mid,9500,48,Female,Male,1,No
EMP00207,CORP008,Jeffrey Mccoy,,,Relationship Manager,Senior,14500,34,Male,Male,2,Yes
EMP00208,CORP008,Jade Rodriguez,,,Relationship Manager,Mid,9500,40,Female,Female,3,No
EMP00209,CORP008,Lisa Caldwell,,,Accountant,Mid,8500,54,Female,Female,0,Yes
EMP00210,CORP008,Robin Turner,,,Accountant,Junior,5500,25,Female,Male,3,No
EMP00211,CORP008,Maurice Gregory,,,Relationship Manager,Junior,6000,34,Female,Male,0,No
EMP00212,CORP008,Jessica Ward,,,Relationship Manager,Junior,6000,32,Male,Female,4,No
EMP00213,CORP008,Robert Howard,,,Accountant,Mid,8500,53,Female,Male,0,No
EMP00214,CORP008,Joyce Williams,,MD,Accountant,Junior,5500,34,Female,Female,1,Yes
EMP00215,CORP008,Ashley Morris,,,Accountant,Senior,13000,44,Male,Female,2,No
EMP00216,CORP008,Rebecca Miller,,,Accountant,Senior,13000,40,Female,Female,4,No
EMP00217,CORP008,Jacqueline Maddox,,,Accountant,Senior,13000,46,Female,Female,3,Yes
EMP00218,CORP008,Brenda Meyer,,,Accountant,Senior,13000,56,Female,Female,2,No
EMP00219,CORP009,Theresa Vega,,,Relationship Manager,Junior,6000,40,Female,Female,1,No
EMP00220,CORP009,Seth Moore,,,Accountant,Senior,13000,48,Female,Male,3,No
EMP00221,CORP009,Roy Ferguson,,,Accountant,Senior,13000,33,Female,Male,2,No
EMP00222,CORP009,Melissa Fisher,,,Relationship Manager,Mid,9500,24,Male,Female,2,No
EMP00223,CORP009,Robert Ball,,,Relationship Manager,Junior,6000,42,Female,Male,0,No
EMP00224,CORP009,George Velazquez,,,Accountant,Senior,13000,23,Female,Male,3,Yes
EMP00225,CORP009,Dale Hill,,,Accountant,Senior,13000,40,Female,Male,3,No
EMP00226,CORP009,Crystal Williams,,,Relationship Manager,Junior,6000,58,Female,Female,2,No
EMP00227,CORP009,Christopher Green,,,Relationship Manager,Senior,14500,26,Male,Male,1,Yes
EMP00228,CORP009,Jose Jones,,,Relationship Manager,Mid,9500,57,Female,Male,3,Yes
EMP00229,CORP009,Sarah Byrd,,,Accountant,Junior,5500,58,Male,Female,4,No
EMP00230,CORP009,Kimberly Barber,,,Accountant,Senior,13000,27,Female,Female,3,Yes
EMP00231,CORP009,Matthew Lewis,,,Relationship Manager,Mid,9500,38,Female,Male,2,No
EMP00232,CORP009,Timothy Hickman,,,Relationship Manager,Senior,14500,52,Female,Male,4,No
EMP00233,CORP009,Johnathan Wiley,,,Accountant,Senior,13000,47,Female,Male,2,No
EMP00234,CORP009,Jordan Flores,,,Relationship Manager,Junior,6000,30,Female,Male,2,Yes
EMP00235,CORP009,Randy Gregory,,,Relationship Manager,Mid,9500,37,Male,Male,1,No
EMP00236,CORP009,Shawn Jacobs,,,Accountant,Mid,8500,33,Female,Male,2,Yes
EMP00237,CORP009,Jeffrey Roberts,,,Accountant,Junior,5500,24,Male,Male,0,Yes
EMP00238,CORP010,Karl Davis,,,Accountant,Mid,8500,54,Male,Male,4,No
EMP00239,CORP010,Stephanie Arias,,,Relationship Manager,Mid,9500,33,Male,Female,4,No
EMP00240,CORP010,Jessica Wilson,,,Accountant,Senior,13000,56,Male,Female,3,Yes
EMP00241,CORP010,Tiffany Ochoa,,MD,Relationship Manager,Mid,9500,29,Female,Female,4,No
EMP00242,CORP010,Scott Torres,,,Accountant,Junior,5500,28,Female,Male,4,Yes
EMP00243,CORP010,David Lyons,,,Relationship Manager,Senior,14500,31,Female,Male,4,No
EMP00244,CORP010,Erin Stout,,,Accountant,Junior,5500,49,Male,Female,4,No
EMP00245,CORP010,Dana Payne,,,Relationship Manager,Senior,14500,57,Female,Female,3,No
EMP00246,CORP010,Jeffrey House,,,Accountant,Junior,5500,48,Female,Male,0,Yes
EMP00247,CORP010,Bryan Johnson,,,Relationship Manager,Junior,6000,36,Female,Male,1,Yes
EMP00248,CORP010,Laura Ruiz,,,Relationship Manager,Mid,9500,43,Female,Female,2,Yes
EMP00249,CORP010,Lisa Barrera,,,Relationship Manager,Senior,14500,55,Male,Female,2,Yes
EMP00250,CORP010,Ashley Vazquez,,,Relationship Manager,Senior,14500,53,Female,Female,0,No
EMP00251,CORP010,Nicholas Daniels,,,Relationship Manager,Junior,6000,34,Male,Male,4,No
EMP00252,CORP010,Kristen Henderson,,,Relationship Manager,Junior,6000,49,Male,Female,1,Yes
EMP00253,CORP010,Rodney Martinez,,,Accountant,Senior,13000,23,Male,Male,4,Yes
EMP00254,CORP010,Douglas White,,,Accountant,Mid,8500,30,Male,Male,0,No
EMP00255,CORP010,Karina Lowe,,,Relationship Manager,Junior,6000,35,Female,Female,1,Yes
EMP00256,CORP010,Lindsay Brown,,,Relationship Manager,Junior,6000,50,Female,Female,4,Yes
EMP00257,CORP010,Nicole Mckinney,,,Accountant,Mid,8500,36,Male,Female,2,No
EMP00258,CORP010,Daniel Anderson,,,Relationship Manager,Mid,9500,30,Male,Male,3,No
EMP00259,CORP010,Stephen Fernandez,,,Accountant,Junior,5500,25,Male,Male,4,No
EMP00260,CORP011,Michael Mcfarland,,,Production Supervisor,Junior,5000,28,Female,Male,3,No
EMP00261,CORP011,Lisa Lee,,,Machine Operator,Mid,5000,24,Female,Female,1,No
EMP00262,CORP011,Kristopher Lynn,,,Machine Operator,Mid,5000,28,Female,Male,1,No
EMP00263,CORP011,Angela Jackson,,,Production Supervisor,Mid,7000,55,Female,Female,3,No
EMP00264,CORP011,Stephanie Lewis,,,Machine Operator,Senior,7000,24,Male,Female,3,Yes
EMP00265,CORP011,Erin Morales,,,Machine Operator,Junior,3500,54,Female,Female,0,Yes
EMP00266,CORP011,Matthew Collins,,,Production Supervisor,Mid,7000,39,Female,Male,0,Yes
EMP00267,CORP011,Rebecca Lopez,,,Production Supervisor,Mid,7000,23,Male,Female,3,Yes
EMP00268,CORP011,Kimberly Crane,,,Production Supervisor,Mid,7000,37,Female,Female,2,Yes
EMP00269,CORP011,Julie Hendricks,,,Production Supervisor,Mid,7000,51,Male,Female,0,Yes
EMP00270,CORP011,John Thomas,,,Machine Operator,Senior,7000,32,Male,Male,0,No
EMP00271,CORP011,Robert Andrews,,,Machine Operator,Mid,5000,49,Female,Male,1,Yes
EMP00272,CORP011,Maria Lynch,,,Machine Operator,Junior,3500,38,Male,Female,2,No
EMP00273,CORP011,Kelly Ortega,,,Machine Operator,Junior,3500,44,Female,Female,3,No
EMP00274,CORP011,Lori Ward,,,Production Supervisor,Junior,5000,57,Female,Female,4,No
EMP00275,CORP011,Susan Hobbs,,,Machine Operator,Junior,3500,29,Male,Female,4,Yes
EMP00276,CORP011,David Atkins,,,Machine Operator,Mid,5000,28,Female,Male,1,Yes
EMP00277,CORP011,Melissa Miller,,,Machine Operator,Senior,7000,32,Female,Female,2,Yes
EMP00278,CORP011,Kevin Dixon,,,Machine Operator,Senior,7000,25,Female,Male,2,Yes
EMP00279,CORP011,Daniel Craig,,,Machine Operator,Mid,5000,49,Female,Male,4,No
EMP00280,CORP011,Jeanne Gay,,,Machine Operator,Senior,7000,52,Male,Female,3,Yes
EMP00281,CORP011,Matthew Daugherty,,,Machine Operator,Junior,3500,48,Female,Male,4,No
EMP00282,CORP011,Mark Burns,,,Machine Operator,Mid,5000,54,Male,Male,2,Yes
EMP00283,CORP011,Robert Lewis,,,Machine Operator,Mid,5000,57,Male,Male,1,Yes
EMP00284,CORP011,Ashley Gonzalez,,,Production Supervisor,Senior,9500,47,Female,Female,0,Yes
EMP00285,CORP011,April Lowe,,,Production Supervisor,Mid,7000,32,Male,Female,4,Yes
EMP00286,CORP011,Jennifer Rivas,,,Production Supervisor,Mid,7000,24,Male,Female,1,Yes
