Workflow_ID,Claim_ID,Submitted_Date,Reviewed_Date,Approved_By,Payout_Date
WF00086,CLM00086,2025-01-08,2025-01-15,Ama Boateng,
WF00087,CLM00087,2024-11-15,2024-11-23,Ama Boateng,
WF00088,CLM00088,2025-09-18,2025-09-30,Kwame Mensah,2025-10-08
WF00089,CLM00089,2024-04-02,2024-04-06,Daniel Asare,2024-04-14
WF00090,CLM00090,2025-09-18,2025-09-29,Kwame Mensah,2025-10-08
WF00091,CLM00091,2024-06-25,2024-07-04,Daniel Asare,
WF00092,CLM00092,2025-05-22,2025-05-26,Kwame Mensah,
WF00093,CLM00093,2025-04-15,2025-04-23,Kwame Mensah,2025-04-26
WF00094,CLM00094,2025-09-04,2025-09-11,Daniel Asare,2025-09-18
WF00095,CLM00095,2025-09-05,2025-09-17,Kwame Mensah,
WF00096,CLM00096,2024-02-03,2024-02-16,Kwame Mensah,2024-02-19
WF00097,CLM00097,2025-07-17,2025-07-30,Daniel Asare,
WF00098,CLM00098,2024-02-27,2024-03-02,Daniel Asare,2024-03-07
WF00099,CLM00099,2024-03-03,2024-03-12,Kwame Mensah,2024-03-15
WF00100,CLM00100,2025-06-01,2025-06-06,Daniel Asare,
WF00101,CLM00101,2025-04-16,2025-04-18,Abena Ofori,
WF00102,CLM00102,2024-11-29,2024-12-06,Michael Owusu,
WF00103,CLM00103,2024-02-12,2024-02-26,Daniel Asare,
WF00104,CLM00104,2025-08-20,2025-08-26,Abena Ofori,
WF00105,CLM00105,2024-09-16,2024-09-24,Michael Owusu,
WF00106,CLM00106,2025-10-27,2025-11-05,Michael Owusu,
WF00107,CLM00107,2025-06-16,2025-06-28,Daniel Asare,2025-07-05
WF00108,CLM00108,2024-10-16,2024-10-20,Kwame Mensah,2024-10-28
WF00109,CLM00109,2024-09-27,2024-09-29,Abena Ofori,2024-10-09
WF00110,CLM00110,2024-03-25,2024-04-03,Michael Owusu,2024-04-11
WF00111,CLM00111,2024-04-05,2024-04-09,Daniel Asare,2024-04-15
WF00112,CLM00112,2024-10-10,2024-10-18,Abena Ofori,2024-10-22
WF00113,CLM00113,2024-04-25,2024-05-03,Ama Boateng,
WF00114,CLM00114,2025-09-01,2025-09-12,Daniel Asare,2025-09-16
WF00115,CLM00115,2024-03-08,2024-03-20,Abena Ofori,
WF00116,CLM00116,2025-02-26,2025-03-12,Kwame Mensah,
WF00117,CLM00117,2025-10-19,2025-10-28,Abena Ofori,
WF00118,CLM00118,2025-02-14,2025-02-22,Ama Boateng,2025-03-01
WF00119,CLM00119,2025-10-07,2025-10-12,Michael Owusu,
WF00120,CLM00120,2024-09-08,2024-09-18,Abena Ofori,
WF00121,CLM00121,2024-04-02,2024-04-16,Daniel Asare,2024-04-22
WF00122,CLM00122,2025-05-05,2025-05-19,Michael Owusu,2025-05-23
WF00123,CLM00123,2024-02-04,2024-02-13,Michael Owusu,
WF00124,CLM00124,2024-11-12,2024-11-22,Ama Boateng,2024-12-02
WF00125,CLM00125,2025-07-02,2025-07-11,Abena Ofori,
WF00126,CLM00126,2024-05-17,2024-05-19,Ama Boateng,2024-05-22
WF00127,CLM00127,2025-05-20,2025-05-23,Daniel Asare,
WF00128,CLM00128,2024-07-03,2024-07-12,Michael Owusu,
WF00129,CLM00129,2024-05-08,2024-05-22,Daniel Asare,
WF00130,CLM00130,2025-06-16,2025-06-19,Ama Boateng,
WF00131,CLM00131,2025-11-26,2025-12-02,Michael Owusu,2025-12-11
WF00132,CLM00132,2024-12-24,2024-12-29,Ama Boateng,
WF00133,CLM00133,2024-05-21,2024-05-30,Daniel Asare,
WF00134,CLM00134,2024-09-03,2024-09-10,Daniel Asare,2024-09-14
WF00135,CLM00135,2024-04-02,2024-04-04,Kwame Mensah,
WF00136,CLM00136,2025-04-09,2025-04-14,Ama Boateng,
WF00137,CLM00137,2024-06-17,2024-06-30,Ama Boateng,
WF00138,CLM00138,2024-04-26,2024-05-03,Kwame Mensah,2024-05-11
WF00139,CLM00139,2024-08-12,2024-08-23,Ama Boateng,
WF00140,CLM00140,2025-04-03,2025-04-10,Daniel Asare,2025-04-19
WF00141,CLM00141,2025-10-10,2025-10-13,Daniel Asare,2025-10-21
WF00142,CLM00142,2025-08-12,2025-08-22,Kwame Mensah,
WF00143,CLM00143,2024-07-12,2024-07-15,Ama Boateng,2024-07-19
WF00144,CLM00144,2025-11-09,2025-11-19,Ama Boateng,
WF00145,CLM00145,2025-04-23,2025-05-07,Abena Ofori,2025-05-12
WF00146,CLM00146,2024-05-23,2024-06-06,Ama Boateng,2024-06-10
WF00147,CLM00147,2024-10-10,2024-10-14,Michael Owusu,2024-10-22
WF00148,CLM00148,2024-05-18,2024-05-23,Daniel Asare,2024-06-02
WF00149,CLM00149,2024-06-08,2024-06-19,Michael Owusu,
WF00150,CLM00150,2024-02-01,2024-02-08,Kwame Mensah,
WF00151,CLM00151,2025-08-26,2025-09-09,Daniel Asare,
WF00152,CLM00152,2024-09-04,2024-09-16,Daniel Asare,2024-09-20
WF00153,CLM00153,2024-04-09,2024-04-14,Michael Owusu,
WF00154,CLM00154,2025-04-11,2025-04-21,Michael Owusu,
WF00155,CLM00155,2025-07-18,2025-07-31,Daniel Asare,
WF00156,CLM00156,2025-07-09,2025-07-19,Ama Boateng,2025-07-26
WF00157,CLM00157,2024-12-31,2025-01-06,Kwame Mensah,2025-01-16
WF00158,CLM00158,2025-04-12,2025-04-21,Ama Boateng,
WF00159,CLM00159,2025-02-28,2025-03-11,Daniel Asare,
WF00160,CLM00160,2025-02-06,2025-02-08,Abena Ofori,
WF00161,CLM00161,2025-03-21,2025-03-31,Michael Owusu,2025-04-09
WF00162,CLM00162,2025-02-18,2025-02-20,Daniel Asare,2025-02-25
WF00163,CLM00163,2024-10-25,2024-11-01,Daniel Asare,2024-11-08
WF00164,CLM00164,2024-09-12,2024-09-22,Ama Boateng,2024-10-02
WF00165,CLM00165,2024-07-19,2024-07-27,Kwame Mensah,2024-08-06
